,Borough,2010 Census Tract Number:,Total Low-Income Units:
212,BRONX,85.0,105.0
213,BRONX,129.01,70.0
214,BRONX,189.0,33.0
215,BRONX,211.0,81.0
216,BRONX,131.0,18.0
217,BRONX,131.0,18.0
218,BRONX,131.0,12.0
219,BRONX,127.01,6.0
220,BRONX,131.0,19.0
221,BRONX,131.0,14.0
222,BRONX,19.0,115.0
223,BRONX,,33.0
224,BRONX,211.0,114.0
225,BRONX,123.0,15.0
226,BRONX,251.0,37.0
227,BRONX,379.0,68.0
228,BRONX,145.0,99.0
229,BRONX,151.0,20.0
230,BRONX,83.0,7.0
231,BRONX,131.0,7.0
232,BRONX,89.0,13.0
233,BRONX,177.01,9.0
234,BRONX,177.01,8.0
235,BRONX,177.01,8.0
236,BRONX,175.0,70.0
237,BRONX,241.0,91.0
238,BRONX,177.01,10.0
239,BRONX,175.0,40.0
240,BRONX,175.0,11.0
241,BRONX,177.01,17.0
242,BRONX,143.0,6.0
243,BRONX,177.01,9.0
244,BRONX,125.0,66.0
245,BRONX,375.04,73.0
246,BRONX,213.02,89.0
247,BRONX,179.02,73.0
248,BRONX,83.0,76.0
249,BRONX,39.0,13.0
250,BRONX,27.02,6.0
251,BRONX,195.0,60.0
252,BRONX,185.0,74.0
253,BRONX,129.01,2.0
254,BRONX,73.0,82.0
255,BRONX,167.0,9.0
256,BRONX,155.0,15.0
257,BRONX,155.0,6.0
258,BRONX,167.0,6.0
259,BRONX,157.0,15.0
260,BRONX,243.0,79.0
261,BRONX,25.0,94.0
262,BRONX,131.0,67.0
263,BRONX,155.0,15.0
264,BRONX,155.0,16.0
265,BRONX,147.01,14.0
266,BRONX,167.0,13.0
267,BRONX,221.02,64.0
268,BRONX,149.0,65.0
269,BRONX,363.0,79.0
270,BRONX,185.0,135.0
271,BRONX,153.0,94.0
272,BRONX,69.0,123.0
273,BRONX,133.0,6.0
274,BRONX,185.0,5.0
275,BRONX,185.0,2.0
276,BRONX,185.0,5.0
277,BRONX,185.0,5.0
278,BRONX,185.0,3.0
279,BRONX,185.0,3.0
280,BRONX,185.0,4.0
281,BRONX,185.0,4.0
282,BRONX,153.0,4.0
283,BRONX,149.0,6.0
284,BRONX,43.0,6.0
285,BRONX,25.0,5.0
286,BRONX,77.0,15.0
287,BRONX,193.0,25.0
288,BRONX,135.0,25.0
289,BRONX,31.0,5.0
290,BRONX,129.01,50.0
291,BRONX,229.02,52.0
292,BRONX,135.0,59.0
293,BRONX,69.0,166.0
294,BRONX,69.0,166.0
295,BRONX,177.02,97.0
296,BRONX,201.0,59.0
297,BRONX,33.0,190.0
298,BRONX,189.0,88.0
299,BRONX,215.01,30.0
300,BRONX,215.01,21.0
301,BRONX,43.0,81.0
302,BRONX,129.01,21.0
303,BRONX,185.0,59.0
304,BRONX,,54.0
305,BRONX,374.0,72.0
306,BRONX,213.02,65.0
307,BRONX,375.04,87.0
308,BRONX,153.0,94.0
309,BRONX,69.0,164.0
310,BRONX,119.0,163.0
311,BRONX,167.0,46.0
312,BRONX,125.0,35.0
313,BRONX,119.0,135.0
314,BRONX,211.0,129.0
315,BRONX,385.0,70.0
316,BRONX,141.0,110.0
317,BRONX,129.01,160.0
318,BRONX,395.0,117.0
319,BRONX,243.0,82.0
320,BRONX,243.0,39.0
321,BRONX,215.02,206.0
322,BRONX,215.02,47.0
323,BRONX,215.01,79.0
324,BRONX,215.01,29.0
325,BRONX,359.0,95.0
326,BRONX,189.0,39.0
327,BRONX,151.0,42.0
328,BRONX,217.0,74.0
329,BRONX,381.0,113.0
330,BRONX,221.01,101.0
331,BRONX,211.0,38.0
332,BRONX,213.02,126.0
333,BRONX,213.02,80.0
334,BRONX,213.02,48.0
335,BRONX,383.02,62.0
336,BRONX,213.02,292.0
337,BRONX,65.0,208.0
338,BRONX,185.0,42.0
339,BRONX,201.0,59.0
340,BRONX,141.0,80.0
341,BRONX,359.0,42.0
342,BRONX,411.0,110.0
343,BRONX,177.02,21.0
344,BRONX,243.0,83.0
345,BRONX,129.01,69.0
346,BRONX,224.04,99.0
347,BRONX,125.0,122.0
348,BRONX,255.0,38.0
349,BRONX,185.0,128.0
350,BRONX,89.0,57.0
351,BRONX,19.0,3.0
352,BRONX,385.0,88.0
353,BRONX,43.0,119.0
354,BRONX,363.0,40.0
355,BRONX,67.0,62.0
356,BRONX,359.0,95.0
357,BRONX,147.01,97.0
358,BRONX,395.0,72.0
359,BRONX,211.0,33.0
360,BRONX,195.0,81.0
361,BRONX,35.0,76.0
362,BRONX,373.0,53.0
363,BRONX,93.0,124.0
364,BRONX,131.0,65.0
365,BRONX,213.02,75.0
366,BRONX,145.0,113.0
367,BRONX,375.04,96.0
368,BRONX,215.02,109.0
369,BRONX,251.0,70.0
370,BRONX,227.01,62.0
371,BRONX,397.0,118.0
372,BRONX,79.0,7.0
373,BRONX,79.0,4.0
374,BRONX,123.0,127.0
375,BRONX,185.0,51.0
376,BRONX,251.0,132.0
377,BRONX,87.0,82.0
378,BRONX,87.0,110.0
379,BRONX,241.0,62.0
380,BRONX,200.0,57.0
381,BRONX,336.0,73.0
382,BRONX,25.0,119.0
383,BRONX,85.0,93.0
384,BRONX,225.0,114.0
385,BRONX,127.01,
386,BRONX,157.0,60.0
387,BRONX,125.0,83.0
388,BRONX,79.0,22.0
389,BRONX,79.0,10.0
390,BRONX,79.0,10.0
391,BRONX,215.02,272.0
392,BRONX,405.02,56.0
393,BRONX,73.0,23.0
394,BRONX,73.0,47.0
395,BRONX,185.0,89.0
396,BRONX,363.0,35.0
397,BRONX,65.0,210.0
398,BRONX,69.0,63.0
399,BRONX,407.02,140.0
400,BRONX,87.0,232.0
401,BRONX,87.0,109.0
402,BRONX,193.0,
403,BRONX,83.0,117.0
404,BRONX,19.0,60.0
405,BRONX,157.0,98.0
406,BRONX,,39.0
407,BRONX,141.0,71.0
408,BRONX,405.02,49.0
409,BRONX,69.0,57.0
410,BRONX,69.0,67.0
411,BRONX,145.0,226.0
412,BRONX,225.0,36.0
413,BRONX,123.0,122.0
414,BRONX,,70.0
415,BRONX,241.0,
416,BRONX,67.0,50.0
417,BRONX,85.0,60.0
418,BRONX,129.01,124.0
419,BRONX,251.0,108.0
420,BRONX,227.01,104.0
421,BRONX,205.01,288.0
422,BRONX,141.0,84.0
423,BRONX,141.0,130.0
424,BRONX,141.0,79.0
425,BRONX,,189.0
426,BRONX,19.0,77.0
427,BRONX,19.0,416.0
428,BRONX,231.0,105.0
429,BRONX,393.0,150.0
430,BRONX,265.0,56.0
431,BRONX,393.0,240.0
432,BRONX,395.0,47.0
433,BRONX,87.0,82.0
434,BRONX,373.0,91.0
435,BRONX,373.0,55.0
436,BRONX,71.0,106.0
437,BRONX,75.0,88.0
438,BRONX,75.0,311.0
439,BRONX,75.0,887.0
440,BRONX,135.0,98.0
441,BRONX,225.0,43.0
442,BRONX,395.0,68.0
443,BRONX,177.01,65.0
444,BRONX,85.0,60.0
445,BRONX,157.0,83.0
446,BRONX,167.0,220.0
447,BRONX,73.0,733.0
448,BRONX,,256.0
449,BRONX,273.0,76.0
450,BRONX,413.0,76.0
451,BRONX,385.0,80.0
452,BRONX,361.0,32.0
453,BRONX,86.0,1824.0
454,BRONX,247.0,105.0
455,BRONX,381.0,64.0
456,BRONX,215.02,110.0
457,BRONX,193.0,65.0
458,BRONX,373.0,91.0
459,BRONX,431.0,69.0
460,BRONX,267.01,97.0
461,BRONX,161.0,180.0
462,BRONX,93.0,137.0
463,BRONX,159.0,299.0
464,BRONX,87.0,299.0
465,BRONX,121.02,398.0
466,BRONX,159.0,407.0
467,BRONX,5300.0,1543.0
468,BRONX,205.01,127.0
469,BRONX,75.0,160.0
470,BRONX,396.0,80.0
471,BRONX,396.0,16.0
472,BRONX,363.0,73.0
473,BRONX,71.0,150.0
474,BRONX,359.0,64.0
475,BRONX,361.0,442.0
476,BRONX,181.01,10.0
477,BRONX,,63.0
478,BRONX,143.0,216.0
479,BRONX,135.0,123.0
480,BRONX,119.0,73.0
481,BRONX,131.0,47.0
482,BRONX,167.0,103.0
483,BRONX,400.0,48.0
484,BRONX,121.01,353.0
485,BRONX,213.01,402.0
486,BRONX,131.0,58.0
487,BRONX,195.0,120.0
488,BRONX,197.0,26.0
489,BRONX,179.01,5.0
490,BRONX,,19.0
491,BRONX,85.0,351.0
492,BRONX,2901.0,65.0
493,BRONX,418.0,
494,BRONX,336.0,698.0
495,BRONX,3703.0,65.0
496,BRONX,367.0,
497,BRONX,179.02,21.0
498,BRONX,,
499,BRONX,255.0,15.0
500,BRONX,363.0,18.0
501,BRONX,,
502,BRONX,235.01,16.0
503,BRONX,,
504,BRONX,79.0,
505,BRONX,363.0,32.0
506,BRONX,233.01,28.0
507,BRONX,71.0,
508,BRONX,83.0,
509,BRONX,215.02,
510,BRONX,365.01,91.0
511,BROOKLYN,551.0,34.0
512,BROOKLYN,786.0,30.0
513,BROOKLYN,387.0,66.0
514,BROOKLYN,229.0,12.0
515,BROOKLYN,513.0,20.0
516,BROOKLYN,283.0,36.0
517,BROOKLYN,317.01,10.0
518,BROOKLYN,51.0,11.0
519,BROOKLYN,219.0,25.0
520,BROOKLYN,59.0,15.0
521,BROOKLYN,882.0,30.0
522,BROOKLYN,513.0,49.0
523,BROOKLYN,551.0,70.0
524,BROOKLYN,279.0,2.0
525,BROOKLYN,379.0,36.0
526,BROOKLYN,336.0,75.0
527,BROOKLYN,359.0,19.0
528,BROOKLYN,231.0,24.0
529,BROOKLYN,361.0,58.0
530,BROOKLYN,1196.0,59.0
531,BROOKLYN,193.0,78.0
532,BROOKLYN,305.0,94.0
533,BROOKLYN,491.0,20.0
534,BROOKLYN,427.0,43.0
535,BROOKLYN,253.0,117.0
536,BROOKLYN,359.0,32.0
537,BROOKLYN,289.0,11.0
538,BROOKLYN,227.0,12.0
539,BROOKLYN,221.0,31.0
540,BROOKLYN,305.0,19.0
541,BROOKLYN,1134.0,150.0
542,BROOKLYN,527.0,52.0
543,BROOKLYN,371.0,26.0
544,BROOKLYN,1176.02,26.0
545,BROOKLYN,381.0,21.0
546,BROOKLYN,261.0,59.0
547,BROOKLYN,900.0,35.0
548,BROOKLYN,387.0,32.0
549,BROOKLYN,1126.0,22.0
