,Statistics,Population Density (Per Sq. Mile),Total Population:,White Alone,Black or African American Alone,Asian Alone,Hispanic or Latino Alone,Less than High School,Bachelor's Degree or More,Median Household Income (In 2015 Inflation Adjusted Dollars),Per Capita Income (In 2015 Inflation Adjusted Dollars),Gini Index,Occupied,Median Year Structure Built,Median Value,Median Gross Rent,Under 2.00 (Poor or Struggling),2.00 and Over (Doing Ok),Foreign Born:,Population 25 Years and Over:,Housing Units:,Population for Whom Poverty Status Is Determined:,year
531,Unnamed: 532,,,0.177,0.5589999999999999,0.039,0.188,0.293,0.122,,,,0.953,,,,0.608,0.392,0.297,,,,2015
532,"Census Tract 375.04, Bronx County, New York",39942.4,3690.0,715.0,1242.0,79.0,1538.0,905.0,201.0,"$15,707","$10,646",0.52,1249.0,1939.0,"$371,100",$842,2569.0,887.0,899.0,2000.0,1361.0,3456.0,2015
533,Unnamed: 534,,,0.19399999999999998,0.337,0.021,0.41700000000000004,0.45299999999999996,0.10099999999999999,,,,0.9179999999999999,,,,0.743,0.257,0.244,,,,2015
534,"Census Tract 376, Bronx County, New York",50020.0,2440.0,244.0,1063.0,138.0,856.0,326.0,359.0,"$50,139","$20,596",0.39,721.0,1953.0,"$359,300","$1,445",947.0,1493.0,864.0,1542.0,798.0,2440.0,2015
535,Unnamed: 536,,,0.1,0.436,0.057,0.35100000000000003,0.21100000000000002,0.233,,,,0.904,,,,0.38799999999999996,0.612,0.354,,,,2015
536,"Census Tract 378, Bronx County, New York",64500.8,3233.0,418.0,1953.0,16.0,630.0,513.0,229.0,"$35,625","$16,709",0.42,1057.0,1950.0,"$409,100","$1,175",1686.0,1546.0,1268.0,1903.0,1075.0,3232.0,2015
537,Unnamed: 538,,,0.129,0.604,0.005,0.195,0.27,0.12,,,,0.983,,,,0.522,0.478,0.392,,,,2015
538,"Census Tract 379, Bronx County, New York",71216.7,5287.0,579.0,2595.0,23.0,1986.0,995.0,329.0,"$27,841","$16,171",0.6,1527.0,1941.0,"$286,100","$1,077",3884.0,1295.0,1979.0,2964.0,1656.0,5179.0,2015
539,Unnamed: 540,,,0.11,0.491,0.004,0.376,0.336,0.111,,,,0.922,,,,0.75,0.25,0.374,,,,2015
540,"Census Tract 380, Bronx County, New York",57205.6,4755.0,258.0,3777.0,113.0,459.0,604.0,928.0,"$33,506","$19,144",0.49,1733.0,1960.0,,"$1,132",2855.0,1830.0,1530.0,3114.0,1882.0,4685.0,2015
541,Unnamed: 542,,,0.054000000000000006,0.794,0.024,0.09699999999999999,0.19399999999999998,0.298,,,,0.9209999999999999,,,,0.609,0.391,0.322,,,,2015
542,"Census Tract 381, Bronx County, New York",113459.0,6534.0,865.0,1935.0,116.0,3470.0,1519.0,300.0,"$25,891","$13,172",0.42,2230.0,1939.0,"$428,400","$1,172",4114.0,2343.0,2899.0,4015.0,2345.0,6457.0,2015
543,Unnamed: 544,,,0.132,0.29600000000000004,0.018000000000000002,0.531,0.37799999999999995,0.075,,,,0.951,,,,0.637,0.363,0.444,,,,2015
544,"Census Tract 382, Bronx County, New York",43998.8,2666.0,208.0,2000.0,36.0,416.0,315.0,342.0,"$46,953","$21,387",0.47,837.0,1951.0,"$385,200","$1,305",1146.0,1507.0,1023.0,1634.0,924.0,2653.0,2015
545,Unnamed: 546,,,0.078,0.75,0.013999999999999999,0.156,0.193,0.209,,,,0.9059999999999999,,,,0.43200000000000005,0.568,0.384,,,,2015
546,"Census Tract 383.01, Bronx County, New York",118632.9,4356.0,372.0,1152.0,0.0,2621.0,769.0,231.0,"$26,295","$14,491",0.5,1509.0,1939.0,,"$1,144",2957.0,1309.0,2095.0,2339.0,1624.0,4266.0,2015
547,Unnamed: 548,,,0.085,0.265,0.0,0.602,0.32899999999999996,0.099,,,,0.929,,,,0.693,0.307,0.48100000000000004,,,,2015
548,"Census Tract 383.02, Bronx County, New York",106042.7,5941.0,251.0,2868.0,0.0,2570.0,1310.0,278.0,"$22,917","$13,992",0.56,1883.0,1939.0,,$988,4382.0,1506.0,1663.0,3242.0,1992.0,5888.0,2015
549,Unnamed: 550,,,0.042,0.483,0.0,0.433,0.40399999999999997,0.086,,,,0.945,,,,0.7440000000000001,0.256,0.28,,,,2015
