,ct_index,Population_density,Total_pop,perc_white,perc_black,perc_asian,perc_hispanic,high_school_below,bachelor_up,Median_hhs_Income,Per_Capita_Income,Gini_Index,Occupied_rate,Median_Value,Median_Rent,inc_to_poverty_under2,inc_to_poverty_above2,Foreign_born,year,GEO.id2,Total_Housing_unit,n_ct,Total Low-Income Units:,perc_pc,perc_pc_,building_age,entropy_index,log_pop,log_pop_density,log_h_unit,log_income,log_inc_p
0,"Census Tract 1, Kings County, New York",57113.420000000006,4516.6,0.7360387701573967,0.09769679580929833,0.00016312310452270998,0.0651867262079102,0.033617019092891644,0.6680152480349671,81175.8,57824.4,0.492,0.8737023406946071,13.252794970610994,7.275449289403303,0.22521245842275878,0.7747875415772413,0.20591538583302102,2012.2,36047000100.0,2446.0,1.0,0.0,0.0,0.0,69.0,0.6291107831129535,8.415514777383203,10.952794394299456,7.802209316247118,11.304372452173485,10.965166110910918
1,"Census Tract 1, Queens County, New York",10501.94,4637.4,0.6813722453219025,0.05925356486506622,0.0001685649070613224,0.024446980440207093,0.022754251564774678,0.7596219861603248,120514.0,78047.0,0.434,0.8786009169593374,13.087937550389311,7.682482446534506,0.15688873939037593,0.8431112606096243,0.3703235312644999,2012.2,36081000100.0,4036.0,1.0,0.0,0.0,0.0,13.6,0.5159708105524606,8.44190914334088,9.259315280983998,8.3030093814735,11.699521207736788,11.265066488305438
2,"Census Tract 10, Queens County, New York",55530.89999999999,3471.8,0.4008421761069765,0.08402771769398402,0.00011531656772080566,0.25319572206235064,0.22808068104694149,0.20280024946603986,58423.0,20657.2,0.398,0.927401811021206,12.992664630799982,7.112816322745581,0.356420752146369,0.6435792478536311,0.4616923969475331,2012.2,36081001000.0,1009.0,10.0,0.0,0.0,0.0,78.0,0.914848913869578,8.15242847043445,10.924694901559743,6.9167150203536085,10.975464926899866,9.93581920589939
3,"Census Tract 10.01, New York County, New York",61828.18000000001,1754.4,0.804613168164938,0.02916544108676511,0.0004589528313988679,0.07426132410659339,0.05792254387138116,0.5582809926653496,75870.0,49805.4,0.49399999999999994,0.9271125516315604,13.209091380914153,7.025360521056401,0.1965153292826181,0.8034846707173819,0.11284816351720095,2012.2,36061001001.0,858.0,10.01,0.0,0.0,0.0,62.2,0.47030023802844206,7.469882197103678,11.032114526570295,6.754604099487962,11.236776628332121,10.815878690869171
4,"Census Tract 100, Kings County, New York",108880.5,6361.6,0.2324373604437649,0.02545005560379565,3.653519749592137e-05,0.20518201823243812,0.6245526323998668,0.11567877953916465,28994.6,12893.4,0.46799999999999997,0.9473028828111746,13.401841892505422,6.905953657035509,0.6695794031935677,0.3304205968064323,0.5767027506425924,2012.2,36047010000.0,1905.0,100.0,0.0,0.0,0.0,78.0,0.7482021765040845,8.7580351970222,11.598006229526412,7.552237287560802,10.274864884733402,9.46447083151657
5,"Census Tract 100, New York County, New York",26416.02,1757.0,0.7363028432292145,0.024645305813324584,0.00042004259095416085,0.0614598279138896,0.031758948448213795,0.7635740441239365,95810.0,97528.0,0.514,0.8626536103608382,13.520978410562412,7.634724008017593,0.1852355474813195,0.8147644525186806,0.3201632586265397,2012.2,36061010000.0,1388.0,100.0,0.0,0.0,0.0,65.0,0.4801054391492891,7.471363088187097,10.181725923276522,7.23561914106675,11.470122342644919,11.487894795244982
6,"Census Tract 100, Queens County, New York",41826.59999999999,3591.0,0.1416027538451801,0.21548717667118017,3.928276231432865e-05,0.33128408768376943,0.23234630229950795,0.18995816557627226,67866.4,21939.4,0.374,0.9537716848950637,12.968139361554718,7.260663136351625,0.3361575212721171,0.6638424787278829,0.671541051703358,2012.2,36081010000.0,1007.0,100.0,0.0,0.0,0.0,78.0,0.9559267601391348,8.186185994226083,10.641287779755732,6.914730892718563,11.125296345709591,9.99603938614443
7,"Census Tract 1008.01, Queens County, New York",9318.25,2338.25,0.5035359812540722,0.42070453225088816,0.00021701585775637258,0.03269222392242445,0.1546967871244748,0.4070831111903774,76755.5,24848.75,0.44999999999999996,0.9044612161765804,13.01260431341159,7.247614629992308,0.29404407296893786,0.7059559270310621,0.21777563032868025,2013.0,36081100801.0,683.0,1008.01,0.0,0.0,0.0,62.75,0.8128659728711756,7.757158065314661,9.13973012180863,6.52649485957079,11.248380324119685,10.12056272844873
8,"Census Tract 1008.02, Queens County, New York",22132.125,8611.0,0.33099513756575616,0.4871925929788929,3.831108019971679e-05,0.10737714074660414,0.21760969773118635,0.2659404676489267,58190.5,19624.75,0.415,0.9283690196416521,13.050276438509428,7.086110647506213,0.39200940439804377,0.6079905956019562,0.3433505629517356,2013.0,36081100802.0,2593.0,1008.02,65.0,0.025067489394523718,0.02488694120784192,61.75,0.9511965684168053,9.060795734696166,10.00478545193265,7.860570785538664,10.971477390155474,9.884546803715967
9,"Census Tract 101, Kings County, New York",36308.1,4320.0,0.5603822212651423,0.03997429580790135,0.0001293622741175742,0.31259186674811335,0.3139959156931934,0.2909853450580443,47380.0,21563.4,0.42000000000000004,0.943885359454152,13.310269312492185,7.0554853910064725,0.39435647893531145,0.6056435210646886,0.4084799833835504,2012.2,36047010100.0,1597.0,101.0,0.0,0.0,0.0,78.0,0.7769687634456751,8.371010681238156,10.499796135856672,7.3758821482150125,10.765955477712776,9.978752712033097
