,Statistics,Population Density (per sq. mile),Total Population:,White Alone,Black or African American Alone,Asian Alone,Hispanic or Latino Alone,Less than High School,Bachelor's degree or More,Median household income (In 2012 Inflation Adjusted Dollars),Per capita income (In 2012 Inflation adjusted dollars),Gini Index,Occupied,Median year structure built,Median value,Median Gross Rent,Under 2.00 (Poor or struggling),2.00 and Over (Doing ok),Foreign Born:,Population 25 Years and Over:,Housing units:,Population for whom poverty status Is determined:,year
98,"Census Tract 77, New York city (part), Bronx borough, Bronx County, New York",43317.2,1887.0,380.0,524.0,55.0,925.0,476.0,141.0,"$30,640","$15,366",0.45,592.0,1983.0,"$471,900","$1,114",1067.0,803.0,423.0,1098.0,628.0,1870.0,2012
99,Unnamed: 100,,,0.201,0.278,0.028999999999999998,0.49,0.434,0.128,,,,0.943,,,,0.5710000000000001,0.429,0.22399999999999998,,,,2012
100,"Census Tract 78, New York city (part), Bronx borough, Bronx County, New York",58798.1,6978.0,930.0,1656.0,658.0,3045.0,1553.0,594.0,"$40,815","$15,309",0.42,2065.0,1948.0,"$458,300","$1,125",3667.0,3311.0,2512.0,4141.0,2205.0,6978.0,2012
101,Unnamed: 102,,,0.133,0.237,0.094,0.436,0.375,0.14300000000000002,,,,0.937,,,,0.526,0.475,0.36,,,,2012
102,"Census Tract 79, New York city (part), Bronx borough, Bronx County, New York",83550.1,6385.0,1443.0,2284.0,0.0,2535.0,1766.0,205.0,"$15,826","$9,522",0.46,2175.0,1958.0,"$442,000",$590,5002.0,1347.0,1590.0,3381.0,2404.0,6349.0,2012
103,Unnamed: 104,,,0.226,0.358,0.0,0.397,0.522,0.061,,,,0.905,,,,0.7879999999999999,0.212,0.249,,,,2012
104,"Census Tract 83, New York city (part), Bronx borough, Bronx County, New York",64830.5,5355.0,973.0,1831.0,0.0,2300.0,1344.0,262.0,"$16,711","$10,689",0.5,1945.0,1950.0,"$270,800",$798,4072.0,1283.0,1587.0,3044.0,2146.0,5355.0,2012
105,Unnamed: 106,,,0.182,0.342,0.0,0.43,0.442,0.086,,,,0.9059999999999999,,,,0.76,0.24,0.29600000000000004,,,,2012
106,"Census Tract 84, New York city (part), Bronx borough, Bronx County, New York",40801.8,2470.0,444.0,830.0,23.0,1023.0,358.0,367.0,"$53,333","$29,873",0.57,702.0,1970.0,"$415,500","$1,232",624.0,1846.0,708.0,1578.0,792.0,2470.0,2012
107,Unnamed: 108,,,0.18,0.336,0.009000000000000001,0.414,0.22699999999999998,0.233,,,,0.8859999999999999,,,,0.253,0.747,0.287,,,,2012
