,Statistics,Population Density (per sq. mile),Total Population:,White Alone,Black or African American Alone,Asian Alone,Hispanic or Latino Alone,Less than High School,Bachelor's degree or More,Median household income (In 2009 Inflation Adjusted Dollars),Per capita income (In 2009 Inflation adjusted dollars),Gini Index,Occupied,Median year structure built,Median value,Median Gross Rent,Under 2.00 (Poor or struggling),2.00 and Over (Doing ok),Foreign Born:,Population 25 Years and Over:,Housing units:,Population for whom poverty status Is determined:,year
0,"Census Tract 1, Bronx County, New York",17588.8,11355.0,1524.0,6458.0,204.0,2655.0,5516.0,171.0,,"$5,573",,0.0,,,,0.0,0.0,1665.0,8043.0,0.0,0.0,2009
1,Unnamed: 2,,,0.134,0.569,0.018000000000000002,0.23399999999999999,0.6859999999999999,0.021,,,,,,,,,,0.147,,,,2009
2,"Census Tract 2, Bronx County, New York",24460.3,4257.0,584.0,1153.0,0.0,2417.0,483.0,284.0,"$55,797","$19,138",0.35,1232.0,1947.0,"$380,300","$1,328",1178.0,3068.0,936.0,2421.0,1398.0,4246.0,2009
3,Unnamed: 4,,,0.13699999999999998,0.271,0.0,0.568,0.2,0.11699999999999999,,,,0.8809999999999999,,,,0.27699999999999997,0.723,0.22,,,,2009
4,"Census Tract 4, Bronx County, New York",16518.5,4625.0,735.0,844.0,97.0,2686.0,649.0,702.0,"$70,486","$25,991",0.38,1354.0,1973.0,"$373,000","$1,430",1078.0,3515.0,897.0,2983.0,1470.0,4593.0,2009
5,Unnamed: 6,,,0.159,0.183,0.021,0.581,0.218,0.235,,,,0.9209999999999999,,,,0.235,0.765,0.19399999999999998,,,,2009
6,"Census Tract 5, Bronx County, New York",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,2009
7,Unnamed: 8,,,,,,,,,,,,,,,,,,,,,,2009
8,"Census Tract 11, Bronx County, New York",3492.3,572.0,61.0,245.0,0.0,244.0,238.0,0.0,"$8,554","$11,512",0.59,283.0,1996.0,,$569,367.0,205.0,55.0,337.0,308.0,572.0,2009
9,Unnamed: 10,,,0.107,0.428,0.0,0.42700000000000005,0.706,0.0,,,,0.919,,,,0.642,0.358,0.096,,,,2009
10,"Census Tract 15, Bronx County, New York",744.6,21.0,0.0,0.0,0.0,21.0,0.0,0.0,,,,21.0,1939.0,,,21.0,0.0,0.0,21.0,21.0,21.0,2009
11,Unnamed: 12,,,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,,,,1.0,0.0,0.0,,,,2009
12,"Census Tract 16, Bronx County, New York",28456.7,5228.0,1061.0,1735.0,0.0,2317.0,1052.0,391.0,"$30,438","$15,898",0.42,1960.0,1968.0,"$369,300",$816,2273.0,2711.0,1123.0,3509.0,2017.0,4984.0,2009
13,Unnamed: 14,,,0.203,0.332,0.0,0.44299999999999995,0.3,0.111,,,,0.972,,,,0.456,0.544,0.215,,,,2009
14,"Census Tract 17, Bronx County, New York",10002.3,949.0,432.0,257.0,0.0,222.0,181.0,113.0,"$40,284","$16,789",0.35,369.0,1948.0,"$373,300","$1,079",413.0,512.0,182.0,575.0,386.0,925.0,2009
15,Unnamed: 16,,,0.455,0.271,0.0,0.23399999999999999,0.315,0.19699999999999998,,,,0.956,,,,0.447,0.5539999999999999,0.192,,,,2009
16,"Census Tract 20, Bronx County, New York",55746.9,8578.0,1187.0,3447.0,38.0,3771.0,1867.0,593.0,"$22,827","$13,465",0.53,3036.0,1952.0,"$384,900",$371,5370.0,3043.0,1578.0,4731.0,3120.0,8413.0,2009
17,Unnamed: 18,,,0.138,0.402,0.004,0.44,0.395,0.125,,,,0.973,,,,0.638,0.36200000000000004,0.184,,,,2009
18,"Census Tract 23, Bronx County, New York",116096.1,4492.0,1831.0,1449.0,0.0,1115.0,1304.0,157.0,"$12,873","$10,437",0.52,1821.0,1962.0,,$368,3110.0,1382.0,659.0,2710.0,1906.0,4492.0,2009
19,Unnamed: 20,,,0.408,0.32299999999999995,0.0,0.248,0.48100000000000004,0.057999999999999996,,,,0.955,,,,0.6920000000000001,0.308,0.147,,,,2009
20,"Census Tract 24, Bronx County, New York",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,2009
21,Unnamed: 22,,,,,,,,,,,,,,,,,,,,,,2009
