,Fl_ft2,LotArea,NumFloors,norm_gas,BuiltFAR,incomePC,ENERGY STAR Score,eui,log_eui,ZIPCODE,d_ghg,id_ghg,norm_elct,age,log_fl_ft2,log_LotArea,log_norm_gas,predicted_eui,diff_eui
37,514093.0,58110,14.0,387034.5,8.85,21.31282395110756,5.0,122.2,2.0870712059065357,10002,2076.7,2176.5,14.3,14,13.150159461922886,10.97009304506915,12.866269115325357,106.57274995740015,34.372749957400146
38,58851.0,10042,7.0,14515.6,4.14,147.2842962739478,79.0,51.3,1.7101173651118162,10019,76.4,125.0,7.5,67,10.982764104897495,9.21453157659465,9.582979212152797,89.04948879728573,87.74948879728574
41,98616.0,10041,12.0,4457.7,9.82,147.2842962739478,93.0,63.4,1.802089257881733,10019,374.2,95.7,3.4,106,11.498988799231356,9.214431989879436,8.402388216930412,73.17480434435612,59.77480434435612
42,85309.0,7541,15.0,49782.2,11.31,147.2842962739478,22.0,92.1,1.9642596301968491,10019,266.2,236.1,9.6,94,11.354035237878815,8.928110078202646,10.815412769400641,103.46531897882181,61.36531897882182
43,75600.0,10041,9.0,1292.4,7.53,147.2842962739478,75.0,61.1,1.7860412102425542,10019,250.6,104.2,4.9,94,11.233211562167625,9.214431989879436,7.1642562339503435,76.49176063446447,65.39176063446448
44,54838.0,8334,9.0,6689.0,6.58,147.2842962739478,2.0,129.6,2.1126050015345745,10019,378.5,145.6,9.6,100,10.91213866328109,9.0280988119824,8.808219665118408,108.71478020168904,29.114780201689044
45,243671.0,20083,18.0,41758.3,12.13,147.2842962739478,3.0,111.8,2.0484418035504044,10019,1368.5,649.4,9.2,92,12.403574233763404,9.907628965036679,10.639653512915634,101.91085384963988,40.11085384963988
49,418114.0,25125,21.0,141264.5,16.64,147.2842962739478,70.0,87.3,1.9410142437055695,10019,750.3,1349.0,4.9,56,12.943509401596298,10.131618645361376,11.858389298607294,55.36233603357054,18.062336033570546
50,636916.0,18577,78.0,6804.0,28.62,147.2842962739478,3.0,70.9,1.8506462351830664,10019,36.1,3441.2,13.0,31,13.364393057727066,9.829679535391405,8.825265953515752,75.61998013922029,54.71998013922028
51,120738.0,12525,12.0,11342.4,9.64,147.2842962739478,5.0,95.0,1.977723605288848,10019,634.6,395.0,9.6,110,11.701378187694424,9.435481925953065,9.336303195100752,102.45234841992834,57.45234841992834
53,133124.0,10017,17.0,998.6,12.6,147.2842962739478,14.0,86.5,1.9370161074648145,10019,5.3,802.7,11.6,91,11.799036303680523,9.212038928611765,6.906354298066509,88.88750165937492,52.38750165937492
