,Statistics,Population Density (per sq. mile),Total Population:,White Alone,Black or African American Alone,Asian Alone,Hispanic or Latino Alone,Less than High School,Bachelor's degree or More,Median household income (In 2013 Inflation Adjusted Dollars),Per capita income (In 2013 Inflation adjusted dollars),Gini Index,Occupied,Median year structure built,Median value,Median Gross Rent,Under 2.00 (Poor or struggling),2.00 and Over (Doing ok),Foreign Born:,Population 25 Years and Over:,Housing units:,Population for whom poverty status Is determined:,year
2638,"Census Tract 213.03, New York County, New York",99651.3,5898.0,1013.0,3057.0,182.0,1340.0,1077.0,1064.0,"$34,336","$20,335",0.48,2180.0,1939.0,"$88,300","$1,011",2963.0,2837.0,1856.0,4243.0,2428.0,5800.0,2013
2639,Unnamed: 2640,,,0.172,0.518,0.031,0.22699999999999998,0.254,0.251,,,,0.898,,,,0.511,0.489,0.315,,,,2013
2640,"Census Tract 214, New York County, New York",53558.4,2831.0,259.0,2337.0,108.0,19.0,344.0,896.0,"$37,519","$28,873",0.42,1809.0,1960.0,,"$1,044",1215.0,1616.0,466.0,2486.0,1985.0,2831.0,2013
2641,Unnamed: 2642,,,0.092,0.826,0.038,0.006999999999999999,0.138,0.36,,,,0.9109999999999999,,,,0.429,0.5710000000000001,0.165,,,,2013
2642,"Census Tract 215, New York County, New York",120415.3,3241.0,580.0,1882.0,26.0,656.0,526.0,539.0,"$32,326","$18,881",0.52,1177.0,1972.0,"$550,000",$834,1963.0,1255.0,803.0,2024.0,1374.0,3218.0,2013
2643,Unnamed: 2644,,,0.179,0.581,0.008,0.20199999999999999,0.26,0.266,,,,0.857,,,,0.61,0.39,0.248,,,,2013
2644,"Census Tract 216, New York County, New York",125194.2,8372.0,1756.0,5562.0,295.0,519.0,960.0,2224.0,"$43,454","$26,839",0.52,3206.0,1939.0,"$776,000","$1,019",3295.0,5077.0,2303.0,5600.0,3799.0,8372.0,2013
2645,Unnamed: 2646,,,0.21,0.664,0.035,0.062,0.171,0.397,,,,0.8440000000000001,,,,0.39399999999999996,0.606,0.275,,,,2013
2646,"Census Tract 217.03, New York County, New York",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,2013
2647,Unnamed: 2648,,,,,,,,,,,,,,,,,,,,,,2013
2648,"Census Tract 218, New York County, New York",100028.5,7024.0,1820.0,4521.0,124.0,526.0,687.0,2005.0,"$51,217","$27,075",0.48,2667.0,1939.0,"$628,000","$1,089",3429.0,3572.0,1249.0,4539.0,2920.0,7001.0,2013
2649,Unnamed: 2650,,,0.259,0.644,0.018000000000000002,0.075,0.151,0.442,,,,0.9129999999999999,,,,0.49,0.51,0.17800000000000002,,,,2013
2650,"Census Tract 219, New York County, New York",54171.0,5979.0,622.0,2039.0,257.0,2776.0,1700.0,391.0,"$16,818","$9,985",0.51,2004.0,1950.0,,$543,4609.0,1321.0,1970.0,3585.0,2241.0,5930.0,2013
2651,Unnamed: 2652,,,0.10400000000000001,0.341,0.043,0.46399999999999997,0.474,0.109,,,,0.894,,,,0.777,0.223,0.33,,,,2013
