,Statistics,Population Density (per sq. mile),Total Population:,White Alone,Black or African American Alone,Asian Alone,Hispanic or Latino Alone,Less than High School,Bachelor's degree or More,Median household income (In 2010 Inflation Adjusted Dollars),Per capita income (In 2010 Inflation adjusted dollars),Gini Index,Occupied,Median year structure built,Median value,Median Gross Rent,Under 2.00 (Poor or struggling),2.00 and Over (Doing ok),Foreign Born:,Population 25 Years and Over:,Housing units:,Population for whom poverty status Is determined:,year
0,"Census Tract 1, Bronx County, New York",18886.7,11517.0,1620.0,6502.0,216.0,2699.0,5324.0,183.0,,"$5,307",,0.0,,,,0.0,0.0,1783.0,7943.0,0.0,0.0,2010
1,Unnamed: 2,,,0.141,0.565,0.019,0.23399999999999999,0.67,0.023,,,,,,,,,,0.155,,,,2010
2,"Census Tract 2, Bronx County, New York",24379.9,4286.0,622.0,1325.0,183.0,2089.0,505.0,355.0,"$59,826","$21,192",0.36,1297.0,1948.0,"$392,500","$1,273",1269.0,3005.0,1018.0,2489.0,1450.0,4274.0,2010
3,Unnamed: 4,,,0.145,0.309,0.043,0.48700000000000004,0.203,0.14300000000000002,,,,0.895,,,,0.297,0.703,0.23800000000000002,,,,2010
4,"Census Tract 4, Bronx County, New York",13889.6,4893.0,561.0,1129.0,115.0,2848.0,601.0,807.0,"$71,968","$27,777",0.39,1531.0,1978.0,"$393,700","$1,330",1152.0,3713.0,933.0,3140.0,1623.0,4865.0,2010
5,Unnamed: 6,,,0.115,0.231,0.024,0.5820000000000001,0.191,0.257,,,,0.943,,,,0.237,0.763,0.191,,,,2010
6,"Census Tract 16, Bronx County, New York",27444.1,5140.0,983.0,1840.0,0.0,2193.0,964.0,454.0,"$30,355","$16,158",0.42,1983.0,1968.0,"$378,100",$823,2175.0,2709.0,1196.0,3421.0,2048.0,4884.0,2010
7,Unnamed: 8,,,0.191,0.358,0.0,0.42700000000000005,0.282,0.133,,,,0.968,,,,0.445,0.555,0.233,,,,2010
8,"Census Tract 19, Bronx County, New York",3375.3,2142.0,797.0,1017.0,51.0,251.0,578.0,89.0,"$25,093","$11,554",0.51,655.0,1951.0,,$870,1629.0,513.0,465.0,1313.0,711.0,2142.0,2010
9,Unnamed: 10,,,0.37200000000000005,0.475,0.024,0.11699999999999999,0.44,0.068,,,,0.9209999999999999,,,,0.7609999999999999,0.24,0.217,,,,2010
